Designator,Value,Package,MidX,MidY,Rotation,Layer
"R26","0","R_0402_1005Metric",95.460000,75.830000,0.000000,top
"R27","0","R_0402_1005Metric",97.635000,75.830000,0.000000,top
"R28","0","R_0402_1005Metric",91.560000,63.105000,90.000000,top
"R29","0","R_0402_1005Metric",91.210000,69.405000,0.000000,top
"R30","0","R_0402_1005Metric",68.030000,85.810000,0.000000,top
"R31","0","R_0402_1005Metric",63.035000,89.905000,270.000000,top
"R32","180","R_0402_1005Metric",62.010000,89.930000,270.000000,top
"R33","18","R_0402_1005Metric",61.210000,95.030000,0.000000,top
"R34","56K","R_0402_1005Metric",97.160000,63.005000,270.000000,top
"R35","22 Ohm","R_0402_1005Metric",99.360000,63.030000,270.000000,top
"U1","W25Q128JVSIQ","FLAHMEMORY",47.485000,61.830000,90.000000,top
"U2","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",63.860000,67.930000,0.000000,top
"U3","TXCO_TG_5021CG","Crystal_SMD_3225-4Pin_3.2x2.5mm",80.520000,85.880000,0.000000,top
"U4","TPS79930","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL",39.860000,81.930000,0.000000,top
"U5","FA_128_","Crystal_SMD_3225-4Pin_3.2x2.5mm",82.650000,93.830000,0.000000,top
"U6","CC1125","HVQFN-32_L5.0-W5.0-P0.50-TL-EP",76.240000,91.460000,0.000000,top
"U7","TXCO_TG_5021CG","Crystal_SMD_3225-4Pin_3.2x2.5mm",104.410000,72.830000,0.000000,top
"U8","TPS79930","TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL",76.010000,57.780000,270.000000,top
"U9","FA_128_","Crystal_SMD_3225-4Pin_3.2x2.5mm",101.710000,76.655000,0.000000,top
"U10","CC1125","HVQFN-32_L5.0-W5.0-P0.50-TL-EP",96.710000,68.880000,0.000000,top
"U11","RF5110G","QFN-16_L3.0-W3.0-P0.50-BL-EP1.5",57.860000,91.755000,0.000000,top
"Y1","12M","Crystal_SMD_3225-4Pin_3.2x2.5mm",75.060000,65.780000,0.000000,top
"Y2","32.768KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",55.110000,68.505000,90.000000,top
